Name,Team,Position,Games,FGM,FGA,FTM,FTA,Rebounds,Assists,Steals,Blocks,TO,Points
Brook Lopez,MIL,C,59,254.8,544.6,96.3,112.3,263.8,45.1,36.1,79.2,55.2,683
Bojan Bogdanovic,DET,SF PF,73,428.3,957.9,240.7,273.8,298.9,127.4,40.1,10,129.4,1278.8
Mason Plumlee,CHA,C,75,222.7,357.1,94.3,177.5,583.7,229.7,59.2,56.2,108.3,539.6
Paul Millsap,,PF C,69,170.5,379.1,74.2,97.3,231.7,66.2,38.1,32.1,51.2,454.4
Al Horford,BOS,PF C,67,266.8,585.8,53.2,66.2,499.5,216.6,48.1,81.2,65.2,672
Jeff Teague,,SG PG,29,55.2,126.4,43.1,50.2,41.1,83.2,15,8,29.1,168.5
Dennis Schröder,LAL,,69,356.1,798.4,188.6,222.7,229.7,325,65.2,12,164.5,1008
Kent Bazemore,,SG SF,29,46.1,120.4,17.1,23.1,59.2,22.1,17.1,7,19.1,126.4
Mike Muscala,OKC,C,58,126.4,289.9,38.1,44.1,163.5,32.1,20.1,28.1,21.1,364.1
LaMarcus Aldridge,,C,67,327,646.9,114.3,133.4,336,102.3,27.1,64.2,70.2,817.4
Nicolas Batum,LAC,SF PF,68,185.6,437.3,45.1,55.2,312.9,121.4,66.2,40.1,49.1,522.6
Robin Lopez,CLE,C,79,158.5,282.8,45.1,72.2,158.5,45.1,7,28.1,49.1,372.1
Damian Lillard,POR,SG PG,64,534.6,1218.6,389.2,433.3,250.8,481.4,56.2,17.1,185.6,1682
CJ McCollum,NO,SG PG,72,604.8,1325,141.4,188.6,310.9,362.1,76.2,26.1,141.4,1544.6
Wesley Matthews,MIL,SG SF PF,79,112.3,294.9,37.1,45.1,115.3,56.2,34.1,8,24.1,337
Jeff Green,DEN,PF C,76,260.8,529.6,129.4,160.5,232.7,94.3,29.1,24.1,64.2,718.1
Mike Conley,UTA,PG,69,321,747.2,141.4,170.5,217.7,368.1,86.3,17.1,120.4,938.8
JaMychal Green,GS,PF C,72,156.5,341,52.2,63.2,334,67.2,42.1,27.1,64.2,416.2
Kawhi Leonard,LAC,SF PF,65,557.7,1136.4,344,387.2,423.3,311.9,98.3,30.1,143.4,1585.7
Danny Green,MEM,SF PF,17,33.1,81.2,6,7,42.1,17.1,16,9.1,12,99.3
