Name,Team,Position,Games,FGM,FGA,FTM,FTA,Rebounds,Assists,Steals,Blocks,TO,Points
OG Anunoby,TOR,SG SF PF,66,397.2,834.5,115.3,152.5,361.1,164.5,96.3,36.1,102.3,1059.2
Luke Kennard,LAC,SG SF,72,244.7,537.6,68.2,76.2,214.6,132.4,38.1,7,59.2,712.1
D.J. Wilson,TOR,PF C,4,13,33.1,4,5,16,5,5,1,2,30.1
Donovan Mitchell,CLE,SG PG,73,606.8,1363.1,293.9,343,289.9,389.2,96.3,14,196.6,1712.1
Jordan Bell,,C,29,22.1,42.1,13,20.1,44.1,16,7,7,12,57.2
Frank Jackson,,SG PG,29,55.2,131.4,26.1,31.1,32.1,21.1,8,0,12,160.5
Wes Iwundu,,SF PF,79,78.2,208.6,63.2,77.2,127.4,55.2,25.1,13,33.1,242.7
Thomas Bryant,LAL,C,63,241.7,439.3,96.3,119.4,298.9,65.2,19.1,57.2,54.2,612.8
Josh Hart,POR,SG SF,69,314.9,691.1,142.4,186.6,443.3,235.7,73.2,20.1,122.4,868.6
Derrick White,BOS,SG PG,75,280.8,653,173.5,201.6,231.7,277.8,56.2,51.2,103.3,840.5
Tony Bradley,CHI,C,29,38.1,59.2,10,15,72.2,8,7,8,9.1,86.3
Kyle Kuzma,WAS,PF,73,442.3,998,139.4,194.6,562.7,220.7,41.1,57.2,156.5,1154.5
Davon Reed,DEN,SG SF PF,79,98.3,195.6,12,18.1,127.4,63.2,28.1,10,16,251.8
Dwayne Bacon,,SG SF,79,236.7,629.9,107.3,144.4,201.6,82.2,38.1,7,44.1,630.9
Damyean Dotson,,SG PG,29,52.2,127.4,10,15,39.1,35.1,8,0,13,134.4
Sterling Brown,,SG SF PF,29,30.1,75.2,7,8,60.2,15,8,0,14,82.2
Semi Ojeleye,,PF,78,65.2,175.5,29.1,36.1,116.3,28.1,15,0,15,197.6
Sindarius Thornwell,,SG PG,29,7,21.1,2,4,15,7,7,0,7,16
Vlatko Cancar,DEN,SF PF C,29,20.1,42.1,9.1,11,24.1,7,1,0,7,56.2
Monte Morris,WAS,PG,75,347,731.2,93.3,111.3,207.6,382.1,57.2,14,77.2,899.7
Dillon Brooks,MEM,SG SF,63,435.3,1038.1,163.5,198.6,209.6,153.5,72.2,21.1,102.3,1140.4
Isaiah Hartenstein,NY,C,73,215.6,353.1,95.3,141.4,323,148.4,47.1,75.2,80.2,536.6
Edmond Sumner,BKN,SG SF,36,71.2,149.4,25.1,36.1,51.2,29.1,14,6,23.1,184.6
PJ Dozier,MIN,SG SF PF,49,84.3,211.6,25.1,35.1,112.3,62.2,22.1,14,31.1,223.7
Chris Boucher,TOR,PF C,74,261.8,541.6,148.4,189.6,503.5,34.1,39.1,78.2,40.1,735.2
Luke Kornet,BOS,C,29,20.1,44.1,4,6,34.1,12,0,13,4,50.2
Daniel Theis,IND,C,46,124.4,229.7,41.1,57.2,211.6,41.1,17.1,28.1,37.1,311.9
Alfonzo McKinnie,,SF PF,29,30.1,67.2,6,12,48.1,7,7,0,7,74.2
Maxi Kleber,DAL,PF C,71,163.5,383.1,52.2,62.2,366.1,76.2,32.1,61.2,52.2,470.4
Torrey Craig,PHO,SF PF,69,138.4,297.9,26.1,35.1,275.8,68.2,38.1,29.1,45.1,362.1
Royce O'Neale,BKN,SG SF,76,179.5,403.2,42.1,52.2,349,175.5,73.2,30.1,71.2,507.5
Mike James,,SG PG,29,38.1,103.3,24.1,31.1,40.1,52.2,7,0,21.1,115.3
Amida Brimah,,C,29,23.1,41.1,10,15,38.1,7,0,15,8,56.2
Luka Doncic,DAL,PG,73,708.1,1518.5,435.3,583.7,660,630.9,84.3,39.1,318,2077.2
Mo Bamba,ORL,C,70,222.7,472.4,56.2,79.2,504.5,70.2,27.1,91.3,67.2,574.7
Grayson Allen,MIL,SG SF,71,258.8,582.7,92.3,105.3,234.7,106.3,48.1,18.1,49.1,771.3
Donte DiVincenzo,GS,SG SF PG,65,170.5,417.2,61.2,78.2,230.7,160.5,67.2,12,97.3,495.5
Michael Porter Jr.,DEN,SF PF,55,342,650.9,95.3,116.3,378.1,79.2,44.1,36.1,72.2,901.7
Trae Young,ATL,PG,77,639.9,1437.3,552.7,625.9,288.9,694.1,73.2,8,293.9,2055.1
Deandre Ayton,PHO,C,70,523.6,869.6,133.4,176.5,712.1,103.3,47.1,64.2,111.3,1190.6
Jaren Jackson Jr.,MEM,PF C,56,310.9,713.1,173.5,216.6,350,67.2,51.2,118.4,91.3,889.7
Kevin Huerter,SAC,SG SF,75,342,789.4,56.2,68.2,253.8,217.7,62.2,28.1,92.3,900.7
Kevin Knox II,DET,SF PF,29,28.1,75.2,13,17.1,37.1,15,7,7,8,84.3
Marvin Bagley III,DET,PF C,65,335,681,107.3,156.5,465.4,62.2,33.1,30.1,76.2,823.5
Wendell Carter Jr.,ORL,PF C,71,360.1,692.1,196.6,271.8,670,158.5,41.1,52.2,118.4,974.9
Collin Sexton,UTA,SG,62,442.3,948.8,219.7,272.8,192.6,236.7,61.2,10,150.4,1201.6
Mikal Bridges,PHO,SF,80,430.3,813.4,142.4,169.5,338,176.5,92.3,40.1,70.2,1123.4
Shai Gilgeous-Alexander,OKC,PG,67,580.7,1216.6,375.1,463.4,330,373.1,81.2,49.1,190.6,1656
Troy Brown Jr.,LAL,SG SF PF,29,53.2,123.4,15,19.1,79.2,29.1,15,0,15,136.4
Miles Bridges,CHA,SF PF,55,364.1,770.3,129.4,156.5,337,173.5,45.1,42.1,90.3,950.8
Chandler Hutchison,,SF PF,29,37.1,89.3,22.1,29.1,69.2,15,8,0,12,103.3
Aaron Holiday,ATL,PG,72,160.5,385.2,59.2,70.2,124.4,149.4,46.1,11,69.2,433.3
Josh Okogie,PHO,SF PF,29,34.1,83.2,28.1,37.1,52.2,22.1,15,9.1,15,103.3
Anfernee Simons,POR,SG PG,69,451.4,1073.2,138.4,163.5,203.6,256.8,41.1,8,142.4,1257.8
Lonnie Walker IV,LAL,SG SF,73,292.9,701.1,87.3,111.3,175.5,126.4,42.1,19.1,72.2,776.3
Devonte' Graham,NO,PG,73,239.7,640.9,114.3,137.4,176.5,278.8,55.2,9.1,96.3,746.2
Jarred Vanderbilt,UTA,PF,73,201.6,333,80.2,108.3,583.7,82.2,81.2,50.2,71.2,483.4
Mitchell Robinson,NY,C,73,274.8,382.1,82.2,159.5,615.8,42.1,62.2,132.4,67.2,631.9
Kostas Antetokounmpo,,SF PF,29,6,20.1,13,26.1,22.1,0,0,5,11,25.1
Isaac Bonga,,SF PF,29,22.1,60.2,15,22.1,44.1,15,8,7,8,66.2
Landry Shamet,PHO,SG SF,74,179.5,446.3,68.2,79.2,130.4,104.3,30.1,8,46.1,547.6
Khyri Thomas,,SG PG,29,26.1,62.2,10,13,17.1,15,8,7,7,70.2
Robert Williams III,BOS,C,59,248.7,342,69.2,103.3,567.7,108.3,50.2,122.4,87.3,566.7
Gary Trent Jr.,TOR,SG PG,73,453.4,1074.2,123.4,149.4,191.6,141.4,109.3,19.1,72.2,1237.7
Jevon Carter,MIL,SG PG,29,13,32.1,3,3,18.1,12,4,0,4,37.1
De'Anthony Melton,PHI,SG PG,74,242.7,585.8,94.3,121.4,276.8,176.5,87.3,35.1,119.4,698.1
Chimezie Metu,SAC,PF,29,48.1,94.3,19.1,24.1,73.2,15,10,7,15,124.4
Jalen Brunson,NY,SG PG,78,555.7,1117.3,193.6,236.7,299.9,449.3,66.2,3,138.4,1413.2
Shake Milton,PHI,SG PG,58,162.5,358.1,67.2,81.2,131.4,123.4,25.1,13,53.2,441.3
Sviatoslav Mykhailiuk,,,79,143.4,356.1,45.1,54.2,100.3,82.2,40.1,7,44.1,431.3
Moritz Wagner,ORL,PF C,79,148.4,297.9,85.3,104.3,205.6,65.2,24.1,19.1,59.2,416.2
Alize Johnson,SA,C,29,15,31.1,6,8,54.2,7,1,0,7,36.1
Bruce Brown,DEN,SF PF,74,247.7,494.5,100.3,133.4,337,153.5,73.2,45.1,63.2,633.9
Keita Bates-Diop,SA,PF,29,13,28.1,5,7,26.1,11,0,0,1,31.1
Drew Eubanks,POR,PF C,79,128.4,213.6,68.2,89.3,243.7,47.1,20.1,33.1,54.2,325
Kenrich Williams,OKC,SF PF,57,159.5,357.1,29.1,57.2,223.7,119.4,49.1,15,54.2,391.2
Duncan Robinson,MIA,SG SF,76,243.7,558.7,48.1,54.2,169.5,99.3,34.1,12,56.2,737.2
Yuta Watanabe,BKN,SG SF PF,29,22.1,51.2,8,12,45.1,15,7,8,7,60.2
Wenyen Gabriel,LAL,SF PF C,29,27.1,61.2,14,22.1,46.1,7,8,7,12,76.2
Kendrick Nunn,LAL,SG PG,69,342,740.2,67.2,74.2,161.5,162.5,55.2,17.1,80.2,870.6
Theo Pinson,DAL,SG SF,29,14,55.2,6,5,16,18.1,8,0,7,41.1
Kelan Martin,,SF PF,29,39.1,94.3,8,9.1,50.2,13,7,7,8,97.3
Jordan McLaughlin,MIN,PG,67,108.3,241.7,31.1,43.1,118.4,195.6,58.2,9.1,51.2,282.8
Brandon Goodwin,,PG,29,28.1,70.2,10,14,26.1,26.1,7,0,12,74.2
Paul Watson Jr.,,SG SF PF,29,21.1,45.1,2,3,25.1,8,6,0,7,55.2
Jock Landale,PHO,C,29,33.1,67.2,11,13,43.1,15,1,8,9.1,86.3
Norvel Pelle,,C,29,14,27.1,5,9.1,42.1,7,0,15,8,33.1
Elijah Bryant,,SG PG,29,21.1,50.2,7,9.1,32.1,15,0,0,8,49.1
Haywood Highsmith,MIA,PF,79,37.1,106.3,6,12,62.2,16,8,8,14,102.3
Javonte Green,CHI,SF PG,79,100.3,192.6,48.1,64.2,144.4,36.1,40.1,16,25.1,264.8
Jae'Sean Tate,HOU,SF PF,78,361.1,719.2,123.4,176.5,405.2,213.6,75.2,39.1,134.4,912.7
Chris Chiozza,,SG PG,29,30.1,86.3,7,7,22.1,49.1,9.1,0,15,82.2
Gabe Vincent,MIA,SG PG,73,197.6,497.5,43.1,50.2,123.4,179.5,56.2,9.1,75.2,542.6
Ja Morant,MEM,PG,70,700.1,1480.4,399.2,528.6,385.2,514.5,82.2,25.1,243.7,1907.7
De'Andre Hunter,ATL,SF PF,68,341,766.3,169.5,212.6,252.8,96.3,49.1,25.1,92.3,952.8
Darius Garland,CLE,PG,73,568.7,1298.9,175.5,200.6,224.7,592.8,89.3,8,227.7,1488.5
Zion Williamson,NO,SF PF,66,683,1143.4,385.2,573.7,466.4,273.8,59.2,38.1,164.5,1767.3
RJ Barrett,NY,SG SF,75,543.6,1303.9,285.9,413.2,450.3,230.7,50.2,20.1,157.5,1521.6
Jarrett Culver,ATL,SG SF PG,29,43.1,108.3,13,25.1,46.1,22.1,8,7,15,107.3
Jaxson Hayes,NO,PF C,72,211.6,332,131.4,178.5,313.9,44.1,33.1,50.2,52.2,570.7
Rui Hachimura,WAS,SF PF,67,292.9,611.8,110.3,142.4,270.8,81.2,38.1,11,60.2,760.3
Cam Reddish,NY,SF PF,60,120.4,312.9,73.2,87.3,121.4,44.1,36.1,14,45.1,366.1
Romeo Langford,SA,SG SF PF,29,10,26.1,5,6,14,11,0,0,0,25.1
Grant Williams,BOS,PF,78,191.6,434.3,75.2,102.3,272.8,74.2,34.1,52.2,62.2,552.7
P.J. Washington,CHA,PF C,72,312.9,688.1,97.3,137.4,418.3,172.5,71.2,74.2,113.3,848.5
Coby White,CHI,SG PG,69,247.7,597.8,80.2,93.3,170.5,164.5,28.1,10,76.2,697.1
Goga Bitadze,IND,C,79,103.3,218.7,47.1,66.2,153.5,43.1,14,49.1,35.1,275.8
Brandon Clarke,MEM,PF C,71,352.1,593.8,104.3,147.4,439.3,104.3,54.2,81.2,48.1,821.5
Tyler Herro,MIA,SG SF PG,72,531.6,1213.6,176.5,207.6,354.1,280.8,50.2,10,179.5,1420.2
Nickeil Alexander-Walker,UTA,SG SF,64,214.6,555.7,59.2,82.2,159.5,136.4,43.1,22.1,78.2,582.7
Darius Bazley,OKC,SF PF,73,292.9,725.2,119.4,170.5,450.3,100.3,54.2,64.2,102.3,792.4
Chuma Okeke,ORL,SF PF,71,192.6,486.5,47.1,59.2,277.8,108.3,81.2,36.1,52.2,528.6
Matisse Thybulle,PHI,SG SF,72,139.4,311.9,24.1,37.1,158.5,75.2,103.3,66.2,41.1,347
Cameron Johnson,PHO,SF PF,71,312.9,714.1,89.3,106.3,293.9,109.3,62.2,19.1,53.2,898.7
Bol Bol,ORL,PF C,29,23.1,47.1,7,9.1,18.1,8,0,9.1,9.1,60.2
Nicolas Claxton,BKN,,66,259.8,419.3,92.3,172.5,426.3,71.2,40.1,88.3,61.2,612.8
Carsen Edwards,,SG PG,29,24.1,64.2,6,8,18.1,8,7,0,7,63.2
Cody Martin,CHA,SG SF,74,207.6,460.4,81.2,126.4,297.9,178.5,85.3,32.1,67.2,557.7
Kevin Porter Jr.,HOU,SG PG,69,398.2,931.8,167.5,237.7,298.9,422.3,80.2,27.1,218.7,1141.4
Dylan Windler,CLE,SG SF PF,29,16,39.1,8,9.1,43.1,15,7,0,8,49.1
Isaiah Roby,SA,PF C,52,154.5,309.9,70.2,99.3,198.6,67.2,35.1,31.1,48.1,417.2
Deividas Sirvydis,IND,SF PF,29,7,20.1,3,4,26.1,7,0,0,7,24.1
Eric Paschall,MIN,PF C,37,77.2,156.5,40.1,53.2,139.4,31.1,7,3,23.1,213.6
Jordan Poole,GS,SG PG,77,477.4,1180.5,254.8,292.9,258.8,306.9,63.2,22.1,188.6,1428.3
Alen Smailagic,,SF PF,29,24.1,53.2,11,19.1,26.1,11,4,7,8,66.2
Mfiondu Kabengele,BOS,PF C,29,1,2,1,1,2,1,1,1,1,4
Talen Horton-Tucker,UTA,SG SF PF,69,235.7,538.6,107.3,136.4,204.6,176.5,65.2,29.1,86.3,635.9
KZ Okpala,SAC,PF C,79,64.2,158.5,16,24.1,91.3,25.1,15,18.1,16,161.5
Didi Louzada,,SG PG,29,28.1,66.2,13,15,36.1,20.1,9.1,0,14,84.3
Bruno Fernando,HOU,C,29,22.1,42.1,12,18.1,40.1,7,0,7,12,56.2
Ty Jerome,GS,SG PG,29,51.2,132.4,15,19.1,37.1,51.2,12,0,15,146.4
Nassir Little,POR,SG SF PF,69,222.7,491.5,101.3,140.4,338,76.2,33.1,49.1,60.2,615.8
Keldon Johnson,SA,SF PF,73,504.5,981.9,254.8,334,471.4,186.6,61.2,16,113.3,1438.3
Justin James,,SF PF,29,1,2,2,2,1,1,1,0,1,5
Admiral Schofield,ORL,SF PF,29,21.1,53.2,6,7,37.1,8,0,0,7,56.2
Terance Mann,LAC,SG PG,78,243.7,500.5,109.3,142.4,298.9,153.5,42.1,18.1,62.2,660
Ignas Brazdeikis,,SF PF,29,31.1,73.2,8,12,37.1,16,5,1,11,79.2
Tremont Waters,,PG,29,23.1,67.2,12,12,16,37.1,13,0,18.1,65.2
Jalen McDaniels,CHA,SG SF,66,173.5,365.1,70.2,91.3,222.7,75.2,36.1,29.1,50.2,471.4
John Konchar,MEM,SG SF,74,137.4,247.7,27.1,43.1,322,103.3,52.2,23.1,48.1,355.1
Jaylen Nowell,MIN,SG PG,61,169.5,404.2,89.3,105.3,102.3,110.3,27.1,9.1,35.1,498.5
Jaylen Hoard,,SF PF,29,34.1,70.2,21.1,31.1,46.1,16,8,0,12,89.3
Quinndary Weatherspoon,GS,SG SF,29,9.1,18.1,7,7,7,15,7,0,10,25.1
Kyle Guy,,SG PG,29,1,3,1,1,1,1,0,0,1,4
Miye Oni,,SG SF,79,33.1,115.3,2,5,77.2,22.1,14,7,15,91.3
Daniel Gafford,WAS,C,73,270.8,390.2,107.3,167.5,402.2,64.2,31.1,98.3,65.2,649.9
Jarrell Brantley,,SF PF,29,16,33.1,2,1,22.1,11,6,1,7,41.1
Dean Wade,CLE,SF PF,79,109.3,207.6,16,31.1,168.5,58.2,27.1,15,18.1,289.9
Naz Reid,MIN,C,78,217.7,458.4,88.3,122.4,265.8,62.2,34.1,61.2,67.2,573.7
Luguentz Dort,OKC,SG SF,66,353.1,893.7,183.5,229.7,256.8,111.3,59.2,25.1,120.4,1044.1
Max Strus,MIA,SG SF,74,260.8,581.7,49.1,66.2,210.6,98.3,31.1,15,61.2,763.3
Moses Brown,LAC,C,29,40.1,70.2,26.1,41.1,101.3,0,8,15,12,106.3
Chris Clemons,,SG PG,29,30.1,75.2,5,5,15,15,4,0,7,80.2
Oshae Brissett,IND,PF C,69,183.5,438.3,117.4,154.5,351,68.2,41.1,31.1,52.2,561.7
Amir Coffey,LAC,SG SF PF,29,40.1,91.3,18.1,25.1,38.1,22.1,7,0,8,115.3
Jeremiah Martin,,,29,2,5,1,1,1,2,1,1,1,6
Tyler Cook,CHI,PF C,29,26.1,40.1,18.1,25.1,45.1,7,7,0,7,70.2
Louis King,,SF PF,29,28.1,58.2,11,15,31.1,15,7,2,7,74.2
Juan Toscano-Anderson,LAL,SG SF PF,73,131.4,257.8,29.1,45.1,188.6,139.4,52.2,19.1,73.2,333
Juwan Morgan,,SF PF,29,7,13,2,2,22.1,7,0,0,0,16
Nicolo Melli,,SF PF,29,28.1,75.2,12,16,49.1,18.1,8,7,8,83.2
Charlie Brown Jr.,PHI,SF,29,15,59.2,18.1,19.1,18.1,9.1,8,7,7,56.2
Matt Thomas,,SG SF,29,23.1,53.2,5,6,18.1,7,0,0,7,61.2
Adam Mokoka,,SG PG,29,15,38.1,1,4,13,7,6,0,7,39.1
Donta Hall,,SF PF,29,28.1,39.1,26.1,38.1,72.2,8,7,15,11,82.2
Armoni Brooks,,SG PG,29,36.1,97.3,6,7,42.1,22.1,8,0,8,104.3
Garrison Mathews,HOU,SF,72,135.4,328,134.4,154.5,129.4,50.2,43.1,19.1,34.1,515.5
Caleb Martin,MIA,SG SF,70,212.6,482.4,85.3,115.3,255.8,77.2,64.2,31.1,54.2,583.7
Terence Davis,SAC,SG SF,64,195.6,448.3,52.2,62.2,167.5,86.3,46.1,16,66.2,531.6
Mychal Mulder,,SG SF,29,44.1,116.3,6,7,22.1,7,6,6,7,124.4
Devin Cannady,ORL,SG PG,29,29.1,68.2,14,18.1,15,15,13,7,13,95.3
Anthony Edwards,MIN,SG SF,75,602.8,1405.2,248.7,319,345,297.9,105.3,44.1,197.6,1685
James Wiseman,GS,C,79,338,650.9,97.3,153.5,450.3,50.2,23.1,62.2,105.3,800.4
LaMelo Ball,CHA,PG,74,567.7,1312.9,236.7,290.9,494.5,594.8,119.4,29.1,254.8,1599.8
Patrick Williams,CHI,PF,61,218.7,432.3,101.3,137.4,257.8,69.2,51.2,37.1,66.2,597.8
Isaac Okoro,CLE,SG SF,73,207.6,461.4,110.3,147.4,211.6,117.4,54.2,21.1,59.2,584.7
Onyeka Okongwu,ATL,C,67,229.7,344,101.3,149.4,396.2,69.2,42.1,82.2,61.2,560.7
Killian Hayes,DET,PG,72,204.6,555.7,52.2,65.2,214.6,297.9,80.2,32.1,110.3,510.5
Obi Toppin,NY,PF,75,278.8,542.6,76.2,102.3,323,84.3,31.1,37.1,65.2,695.1
Deni Avdija,WAS,SF PF,78,247.7,583.7,77.2,108.3,390.2,150.4,54.2,40.1,81.2,652
Jalen Smith,IND,PF C,69,333,706.1,112.3,150.4,470.4,44.1,26.1,74.2,77.2,857.6
Devin Vassell,SA,SG SF,74,394.2,946.8,119.4,140.4,360.1,175.5,88.3,43.1,73.2,1074.2
Tyrese Haliburton,IND,SG PG,77,521.6,1104.3,136.4,159.5,300.9,683,124.4,45.1,205.6,1363.1
Kira Lewis Jr.,NO,PG,40,79.2,200.6,21.1,24.1,66.2,72.2,21.1,2,32.1,203.6
Aaron Nesmith,IND,SG SF,66,115.3,276.8,34.1,43.1,149.4,41.1,27.1,10,44.1,325
Cole Anthony,ORL,PG,71,337,855.6,189.6,223.7,328,340,49.1,19.1,173.5,982.9
Isaiah Stewart,DET,C,73,263.8,496.5,79.2,110.3,584.7,79.2,27.1,82.2,86.3,638.9
Aleksej Pokuševski,OKC,,69,228.7,610.8,47.1,64.2,372.1,154.5,45.1,49.1,97.3,577.7
Josh Green,DAL,SG SF,79,78.2,163.5,22.1,35.1,110.3,52.2,32.1,8,27.1,194.6
Saddiq Bey,DET,SF PF,80,451.4,1128.4,201.6,241.7,412.2,205.6,68.2,17.1,93.3,1327
Precious Achiuwa,TOR,C,76,251.8,512.5,100.3,179.5,452.4,73.2,38.1,46.1,82.2,660
Tyrese Maxey,PHI,SG PG,76,537.6,1135.4,206.6,236.7,235.7,315.9,57.2,29.1,97.3,1429.3
Zeke Nnaji,DEN,PF C,29,33.1,66.2,12,15,44.1,7,8,0,7,92.3
Leandro Bolmaro,UTA,SG SF,29,9.1,29.1,7,7,22.1,8,0,0,7,25.1
R.J. Hampton,ORL,SG PG,59,115.3,281.8,51.2,76.2,171.5,99.3,27.1,10,57.2,322
Immanuel Quickley,NY,SG PG,78,290.9,739.2,187.6,210.6,236.7,268.8,54.2,4,105.3,901.7
Payton Pritchard,BOS,PG,79,135.4,311.9,24.1,24.1,134.4,105.3,25.1,8,36.1,373.1
Udoka Azubuike,UTA,C,79,52.2,87.3,44.1,64.2,119.4,0,1,26.1,22.1,148.4
Jaden McDaniels,MIN,SF PF,73,286.9,632.9,54.2,77.2,313.9,87.3,54.2,67.2,78.2,720.2
Malachi Flynn,TOR,SG PG,60,118.4,308.9,34.1,46.1,133.4,118.4,38.1,6,33.1,323
Desmond Bane,MEM,SG SF,77,515.5,1108.3,114.3,131.4,341,219.7,92.3,29.1,114.3,1369.1
Tyrell Terry,MEM,SG PG,29,7,22.1,2,3,13,15,8,0,5,16
Théo Maledon,CHA,,79,158.5,426.3,90.3,116.3,139.4,162.5,39.1,9.1,97.3,477.4
Xavier Tillman Sr.,MEM,C,66,116.3,229.7,38.1,59.2,193.6,65.2,51.2,22.1,37.1,283.8
Vít Krejčí,ATL,,29,38.1,93.3,12,13,58.2,37.1,11,7,15,104.3
Saben Lee,,PG,52,76.2,176.5,57.2,77.2,87.3,131.4,35.1,12,45.1,230.7
Elijah Hughes,,SG SF PG PF,29,8,24.1,2,3,7,7,0,0,7,25.1
Robert Woodard II,,SG SF PF,29,7,27.1,4,6,23.1,0,0,7,0,18.1
Tre Jones,SA,SG PG,73,287.9,596.8,129.4,154.5,223.7,419.3,69.2,10,85.3,736.2
Jahmi'us Ramsey,,SG SF PG,29,21.1,52.2,8,9.1,9.1,7,7,0,5,57.2
Jordan Nwora,MIL,SG SF PF,29,22.1,51.2,6,6,27.1,7,4,4,8,58.2
CJ Elleby,MIN,SG SF PF,29,30.1,78.2,15,19.1,53.2,23.1,8,7,15,82.2
Nico Mannion,,SG PG,29,25.1,73.2,15,18.1,28.1,43.1,8,0,20.1,80.2
Isaiah Joe,PHI,SG SF PG,29,21.1,59.2,10,11,15,7,6,0,7,67.2
Skylar Mays,,SG PG,29,22.1,46.1,8,9.1,15,15,7,0,7,59.2
Kenyon Martin Jr.,HOU,SF PF,72,209.6,402.2,69.2,102.3,289.9,79.2,30.1,36.1,53.2,542.6
Cassius Winston,,SG PG,29,14,33.1,6,6,8,16,0,0,8,41.1
Jay Scrubb,ORL,SG SF,29,20.1,51.2,8,11,15,7,7,0,9.1,55.2
Jalen Harris,,SG PG,29,47.1,94.3,10,12,27.1,22.1,8,0,17.1,127.4
Paul Reed,PHI,PF C,79,82.2,149.4,8,17.1,136.4,26.1,32.1,23.1,22.1,172.5
Sam Merrill,SAC,SG PG,29,15,34.1,2,2,19.1,8,7,0,7,41.1
Devon Dotson,,PG,29,14,28.1,3,5,2,13,7,0,0,31.1
Lamar Stevens,CLE,SG SF,29,41.1,87.3,19.1,27.1,47.1,15,7,7,10,106.3
Markus Howard,,SG PG,29,21.1,55.2,7,8,10,8,0,0,8,61.2
Killian Tillie,MEM,SF PF,29,16,48.1,5,7,31.1,8,9.1,8,8,46.1
Trent Forrest,ATL,SG SF,29,23.1,49.1,12,13,28.1,30.1,7,0,12,58.2
Josh Hall,,SF PF,29,28.1,92.3,20.1,38.1,49.1,29.1,7,0,23.1,76.2
Ömer Yurtseven,MIA,,67,150.4,285.9,45.1,71.2,319,53.2,20.1,23.1,44.1,347
Naji Marshall,NO,SG SF PF,29,39.1,98.3,26.1,33.1,57.2,32.1,11,2,15,112.3
Nathan Knight,MIN,PF C,29,17.1,39.1,18.1,23.1,38.1,8,7,7,7,52.2
Freddie Gillespie,,PF C,29,39.1,74.2,21.1,30.1,87.3,7,11,21.1,9.1,99.3
Facundo Campazzo,,PG,75,141.4,381.1,90.3,108.3,121.4,270.8,92.3,15,85.3,466.4
Anthony Gill,WAS,PF C,29,24.1,45.1,13,16,33.1,8,1,3,8,68.2
Caleb Homesley,,SG PG,29,45.1,106.3,19.1,24.1,37.1,25.1,8,0,15,130.4
Anthony Lamb,,SF PF,29,35.1,90.3,13,15,47.1,16,7,7,15,98.3
Brodric Thomas,BOS,SG SF PG,29,28.1,70.2,18.1,27.1,36.1,15,8,7,12,88.3
Gabriel Deck,,SF PF,29,64.2,144.4,22.1,29.1,61.2,47.1,15,0,10,157.5
Luca Vildoza,MIL,SG PG,29,40.1,94.3,16,20.1,34.1,22.1,7,0,13,113.3
Corey Kispert,WAS,SG SF,72,166.5,366.1,39.1,44.1,149.4,66.2,24.1,14,33.1,452.4
Chris Duarte,IND,SG SF,70,382.1,885.6,128.4,159.5,295.9,157.5,74.2,14,125.4,1029.1
Jaden Springer,PHI,PG,29,21.1,50.2,9.1,10,16,26.1,7,1,9.1,58.2
Franz Wagner,ORL,SF PF,78,464.4,993,194.6,224.7,352.1,216.6,71.2,34.1,120.4,1227.7
Moses Moody,GS,SG SF,75,185.6,424.3,65.2,82.2,127.4,43.1,24.1,17.1,25.1,525.6
Ziaire Williams,MEM,SG,71,229.7,509.5,52.2,67.2,147.4,74.2,47.1,12,54.2,606.8
Jalen Johnson,ATL,PF,29,15,28.1,3,4,18.1,0,0,0,7,33.1
Cam Thomas,BKN,SG SF,79,181.5,419.3,73.2,88.3,132.4,67.2,26.1,8,42.1,478.4
Jared Butler,UTA,SG PG,29,27.1,67.2,5,7,15,25.1,7,0,14,71.2
Sharife Cooper,,PG,29,49.1,229.7,0,0,26.1,44.1,7,0,18.1,119.4
Jonathan Kuminga,GS,PF C,72,274.8,535.6,153.5,222.7,285.9,75.2,35.1,26.1,88.3,763.3
Scottie Barnes,TOR,SG SF PF,76,506.5,1028.1,176.5,239.7,561.7,295.9,84.3,55.2,142.4,1264.8
Keon Johnson,POR,SG PG,79,148.4,420.3,66.2,80.2,119.4,111.3,39.1,16,57.2,416.2
Davion Mitchell,SAC,SG PG,79,261.8,626.9,42.1,62.2,112.3,225.7,42.1,15,78.2,638.9
Josh Giddey,OKC,SG SF PF,68,377.1,899.7,77.2,107.3,490.5,466.4,67.2,25.1,195.6,915.7
Alperen Sengün,HOU,,76,366.1,772.3,244.7,343,523.6,254.8,76.2,88.3,204.6,1023.1
Cade Cunningham,DET,SG SF PG,73,572.7,1376.1,189.6,222.7,415.2,459.4,86.3,47.1,277.8,1480.4
Jalen Green,HOU,SG PG,74,549.6,1291.9,255.8,320,256.8,228.7,51.2,21.1,161.5,1565.7
Evan Mobley,CLE,PF C,74,480.4,944.8,190.6,287.9,620.9,187.6,59.2,127.4,142.4,1182.5
Jalen Suggs,ORL,SG PG,64,300.9,832.5,193.6,250.8,241.7,306.9,86.3,28.1,180.5,865.6
James Bouknight,CHA,SG PG,55,76.2,219.7,44.1,49.1,82.2,40.1,11,1,24.1,224.7
Kai Jones,CHA,C,79,126.4,196.6,45.1,117.4,194.6,48.1,22.1,17.1,44.1,320
Isaiah Jackson,IND,PF C,65,236.7,420.3,122.4,179.5,316.9,28.1,46.1,100.3,85.3,605.8
